fips,Year,County,City,TMC,Start_Lat,Start_Lng,Severity,Distance(mi),count
48025.0,2017,Bee,Beeville,201.0,28.401155,-97.75009200000001,2,0.0,1
48025.0,2018,Bee,Beeville,402.0,56.82584,-195.559158,4,0.0,2
48025.0,2020,Bee,Skidmore,241.0,28.241665,-97.678276,2,1.50999999046,1
48027.0,2016,Bell,Belton,1435.0,279.371324,-877.18829,23,1.7060000000000002,9
48027.0,2016,Bell,Killeen,402.0,62.229290000000006,-195.457023,4,0.0,2
48027.0,2016,Bell,Salado,603.0,216.548519,-682.795576,17,1.48,7
48027.0,2016,Bell,Temple,5352.0,1057.8650190000003,-3310.206692999999,92,13.177,34
48027.0,2016,Bell,Troy,3901.0,811.484314,-2529.792034,70,8.174,26
48027.0,2017,Bell,Belton,3618.0,652.059482,-2046.8457000000003,57,6.42799991417,21
48027.0,2017,Bell,Harker Heights,402.0,62.160250000000005,-195.314537,4,0.0,2
48027.0,2017,Bell,Killeen,402.0,93.270448,-293.158831,8,2.6739999999999995,3
48027.0,2017,Bell,Moody,201.0,31.243948,-97.386719,2,7.17999982834,1
48027.0,2017,Bell,Salado,1487.0,278.221859,-878.0032649999999,28,3.0730000333799996,9
48027.0,2017,Bell,Temple,10489.0,2022.58894,-6327.847929,184,41.878000037072404,65
48027.0,2017,Bell,Troy,8832.0,1373.5185339999996,-4280.909822,124,1.10599999910596,44
48027.0,2018,Bell,Belton,1643.0,465.77373499999993,-1462.122088,37,4.367000042919999,15
48027.0,2018,Bell,Harker Heights,0.0,62.173652,-195.308085,4,0.004,2
48027.0,2018,Bell,Killeen,603.0,93.31061,-293.233078,6,0.0,3
48027.0,2018,Bell,Salado,1498.0,247.36275799999999,-780.387966,21,0.135,8
48027.0,2018,Bell,Temple,3653.0,715.6662749999998,-2239.180178,65,13.223999961859999,23
48027.0,2018,Bell,Troy,3237.0,655.4712820000001,-2043.2672140000004,64,10.473999885560001,21
48027.0,2019,Bell,Belton,1246.0,186.26329900000002,-584.8231420000001,17,0.40000000596,6
48027.0,2019,Bell,Harker Heights,201.0,31.082417,-97.627495,4,1.12000000477,1
48027.0,2019,Bell,Killeen,201.0,31.094778,-97.73234599999999,3,0.0,1
48027.0,2019,Bell,Salado,1571.0,278.45869600000003,-877.862503,28,3.595,9
48027.0,2019,Bell,Temple,1447.0,248.861176,-778.940151,24,4.944999985691999,8
48027.0,2019,Bell,Troy,1089.0,156.005953,-486.5230869999999,16,3.40000009537,5
48027.0,2020,Bell,Belton,201.0,124.15571200000001,-389.865263,11,3.251,4
48027.0,2020,Bell,Killeen,201.0,62.19636,-195.504507,4,0.05,2
48027.0,2020,Bell,Salado,723.0,92.859468,-292.60988499999996,9,0.0,3
48027.0,2020,Bell,Troy,442.0,62.410799,-194.60652900000002,6,0.0,2
48029.0,2016,Bexar,Atascosa,0.0,29.2599,-98.714,2,0.645,1
48029.0,2016,Bexar,Boerne,0.0,29.71552,-98.66266,4,0.6729999999999999,1
48029.0,2016,Bexar,Converse,3015.0,441.97969800000004,-1474.412587,38,0.03,15
48029.0,2016,Bexar,Elmendorf,603.0,117.031848,-393.612811,10,0.09999999999999999,4
48029.0,2016,Bexar,Jbsa Ft Sam Houston,402.0,88.427571,-295.27302499999996,7,0.01,3
48029.0,2016,Bexar,Live Oak,2917.0,413.75583599999993,-1376.908783,41,0.05,14
48029.0,2016,Bexar,Marion,241.0,29.497538,-98.195396,3,0.0,1
48029.0,2016,Bexar,San Antonio,505432.0,82294.646547,-274885.60692500026,6369,185.4820000000004,2792
48029.0,2016,Bexar,Schertz,2722.0,591.498905,-1966.4692210000003,51,4.665,20
48029.0,2016,Bexar,Universal City,402.0,59.111621,-196.61731799999998,3,0.0,2
48029.0,2016,Bexar,Windcrest,1206.0,177.074355,-590.283173,12,0.17,6
48029.0,2017,Bexar,Adkins,201.0,58.74383,-196.576663,5,3.067,2
48029.0,2017,Bexar,Atascosa,201.0,29.249907,-98.74681899999999,3,0.0,1
48029.0,2017,Bexar,Boerne,0.0,59.437740000000005,-197.33182,5,1.2719999999999998,2
48029.0,2017,Bexar,Converse,6051.0,942.931938,-3145.4908680000003,87,6.371999970719439,32
48029.0,2017,Bexar,Elmendorf,2676.0,438.5298440000001,-1476.095401,42,16.43500003815,15
48029.0,2017,Bexar,Helotes,0.0,29.569879999999998,-98.65250999999999,2,0.078,1
48029.0,2017,Bexar,Jbsa Ft Sam Houston,804.0,117.939571,-393.70723000000004,8,0.04,4
48029.0,2017,Bexar,Jbsa Lackland,603.0,88.155642,-295.846886,6,0.0,3
48029.0,2017,Bexar,Live Oak,3256.0,472.8790609999999,-1573.5829460000002,46,0.08,16
48029.0,2017,Bexar,Saint Hedwig,201.0,29.42098,-98.259834,2,0.0,1
48029.0,2017,Bexar,San Antonio,935731.0,153823.30305300042,-514022.22117699805,12280,473.52499942624405,5219
48029.0,2017,Bexar,Schertz,9951.0,1715.5625249999998,-5702.3675429999985,159,6.79399999716896,58
48029.0,2017,Bexar,Selma,607.0,59.164264,-196.61699,6,1.659999966622,2
48029.0,2017,Bexar,Shavano Park,201.0,29.601536,-98.543816,2,0.0,1
48029.0,2017,Bexar,Universal City,201.0,29.560394,-98.326927,2,0.01,1
48029.0,2017,Bexar,Von Ormy,3261.0,468.7757139999999,-1577.9124319999996,46,1.76999998093,16
48029.0,2017,Bexar,Windcrest,1407.0,206.57179499999998,-688.69796,14,0.049999999552999996,7
48029.0,2018,Bexar,Adkins,201.0,58.843217,-196.520912,6,2.387,2
48029.0,2018,Bexar,Boerne,1089.0,178.242705,-591.92371,16,8.05700009537,6
48029.0,2018,Bexar,Converse,5913.0,884.124999,-2948.719144,78,1.151,30
48029.0,2018,Bexar,Elmendorf,4864.0,701.853184,-2361.642660000001,60,2.22999989986,24
48029.0,2018,Bexar,Helotes,1206.0,206.93322899999998,-690.658574,16,1.504,7
48029.0,2018,Bexar,Jbsa Ft Sam Houston,402.0,58.92986499999999,-196.880509,4,0.0,2
48029.0,2018,Bexar,Jbsa Lackland,1005.0,146.92816,-493.071113,10,0.0,5
48029.0,2018,Bexar,Live Oak,2353.0,325.10587999999996,-1081.831267,32,0.7599999904629999,11
48029.0,2018,Bexar,Marion,201.0,29.497538,-98.195396,3,5.980000019069999,1
48029.0,2018,Bexar,San Antonio,1332632.0,206250.16445500127,-689447.8386729986,16043,550.6539994749111,6998
48029.0,2018,Bexar,San Antonio Central,442.0,58.800682,-197.0392,4,0.0,2
48029.0,2018,Bexar,Schertz,6495.0,1183.0621170000002,-3932.551009,114,7.101999969006,40
48029.0,2018,Bexar,Selma,442.0,59.164525999999995,-196.620026,6,0.8100000023839999,2
48029.0,2018,Bexar,Shavano Park,402.0,59.173125,-197.13320900000002,4,0.0,2
48029.0,2018,Bexar,Universal City,603.0,88.651372,-294.924087,6,0.0,3
48029.0,2018,Bexar,Von Ormy,7079.0,1054.785151,-3550.119130000001,92,8.499999928482,36
48029.0,2018,Bexar,Windcrest,2211.0,324.613231,-1082.195564,22,0.660000026226,11
48029.0,2019,Bexar,Adkins,490.0,117.41752699999999,-393.06089299999996,10,0.875,4
48029.0,2019,Bexar,Atascosa,0.0,146.283999,-493.61969899999997,18,6.632000000000001,5
48029.0,2019,Bexar,Boerne,1669.0,237.620601,-789.2367820000001,25,16.037999868858,8
48029.0,2019,Bexar,Converse,6315.0,913.7196439999998,-3047.1492230000003,72,9.118000140663,31
48029.0,2019,Bexar,Elmendorf,3618.0,526.3814269999999,-1771.2286279999998,41,0.0,18
48029.0,2019,Bexar,Helotes,1206.0,177.373076,-591.989776,12,0.0,6
48029.0,2019,Bexar,Jbsa Ft Sam Houston,1608.0,235.72377699999998,-787.45423,16,0.0,8
48029.0,2019,Bexar,Jbsa Lackland,1608.0,235.08331299999998,-788.9245910000001,16,0.0,8
48029.0,2019,Bexar,Live Oak,1452.0,206.90908299999998,-688.4464019999999,17,0.8600000143050001,7
48029.0,2019,Bexar,Lytle,241.0,29.242313,-98.77198,3,0.0,1
48029.0,2019,Bexar,San Antonio,1308833.0,194515.13569799947,-650238.9186089972,14396,256.4410003732742,6600
48029.0,2019,Bexar,San Antonio North,201.0,29.521299,-98.481499,2,0.119999997318,1
48029.0,2019,Bexar,Schertz,5337.0,828.099605,-2752.8036119999997,81,7.717000114439999,28
48029.0,2019,Bexar,Selma,1797.0,207.05334499999998,-688.213799,22,2.68000006676,7
48029.0,2019,Bexar,Somerset,201.0,29.231787,-98.65418199999999,2,0.0,1
48029.0,2019,Bexar,Universal City,201.0,59.09240200000001,-196.627001,6,0.318,2
48029.0,2019,Bexar,Von Ormy,6476.0,967.1487609999999,-3254.2972190000005,75,3.9390000095359996,33
48029.0,2019,Bexar,Windcrest,2814.0,413.16258000000016,-1377.4057810000002,29,0.0,14
48029.0,2020,Bexar,Adkins,0.0,58.75784900000001,-196.480333,4,0.37,2
48029.0,2020,Bexar,Atascosa,789.0,87.77676399999999,-296.155181,11,8.32999992371,3
48029.0,2020,Bexar,Boerne,2455.0,742.7773329999999,-2466.519996,70,7.381,25
48029.0,2020,Bexar,Converse,3943.0,795.8625439999998,-2653.796625,62,0.046,27
48029.0,2020,Bexar,Elmendorf,2697.0,409.07247300000006,-1377.716784,30,0.809,14
48029.0,2020,Bexar,Helotes,402.0,88.70004,-296.015256,6,0.0,3
48029.0,2020,Bexar,Jbsa Ft Sam Houston,402.0,58.941474,-196.851272,4,0.0,2
48029.0,2020,Bexar,Jbsa Lackland,2010.0,293.797216,-986.1987070000001,20,0.0,10
48029.0,2020,Bexar,Live Oak,683.0,177.34945,-590.081586,15,0.0,6
48029.0,2020,Bexar,Marion,201.0,58.992889999999996,-196.395436,6,0.0,2
48029.0,2020,Bexar,San Antonio,697032.0,163355.09611099926,-546065.8267500016,12289,1095.6560003492907,5543
48029.0,2020,Bexar,Schertz,4551.0,1330.7222400000005,-4424.340866,110,18.121999999999996,45
48029.0,2020,Bexar,Selma,2009.0,266.220825,-884.8246230000001,25,0.0,9
48029.0,2020,Bexar,Somerset,201.0,29.226854,-98.640915,2,0.0,1
48029.0,2020,Bexar,Universal City,201.0,177.344853,-589.9507990000001,16,0.392,6
48029.0,2020,Bexar,Von Ormy,4688.0,1552.8423729999995,-5226.616866000003,116,9.524999992846997,53
48029.0,2020,Bexar,Windcrest,1005.0,147.55716,-491.94439,10,0.0,5
48031.0,2016,Blanco,Blanco,201.0,120.788656,-393.367727,10,0.47900000000000004,4
48031.0,2016,Blanco,Johnson City,222.0,90.597896,-295.064884,8,1.2149999999999999,3
48031.0,2017,Blanco,Round Mountain,201.0,30.477740999999998,-98.32109100000001,2,0.0,1
48031.0,2018,Blanco,Blanco,201.0,30.193571000000002,-98.237099,2,29.1100006104,1
48031.0,2018,Blanco,Johnson City,1005.0,272.085996,-885.3158279999999,22,44.271999709145,9
48031.0,2018,Blanco,Round Mountain,201.0,30.477740999999998,-98.32109100000001,2,0.0,1
48031.0,2019,Blanco,Johnson City,201.0,30.399340000000002,-98.35932199999999,2,16.4400005341,1
48031.0,2020,Blanco,Johnson City,0.0,30.193590000000004,-98.23704000000001,4,1.3130000000000002,1
48035.0,2016,Bosque,Iredell,201.0,31.980574,-97.943039,2,0.0,1
48035.0,2018,Bosque,Meridian,201.0,31.902212,-97.68938399999999,2,7.80999994278,1
48037.0,2016,Bowie,De Kalb,0.0,67.01383,-189.22433,6,1.104,2
48037.0,2016,Bowie,Texarkana,0.0,66.903525,-188.22771899999998,8,0.713,2
48037.0,2017,Bowie,De Kalb,402.0,133.47143599999998,-378.67065,9,0.0,4
48037.0,2017,Bowie,New Boston,201.0,33.470818,-94.456703,3,0.0,1
48037.0,2017,Bowie,Simms,201.0,66.77994100000001,-189.193221,6,18.4939996948,2
48037.0,2017,Bowie,Texarkana,402.0,100.303835,-282.236795,10,3.5379999618499998,3
48037.0,2018,Bowie,De Kalb,603.0,100.14904800000001,-283.821754,9,31.73999977116,3
48037.0,2018,Bowie,Maud,201.0,66.651063,-188.768773,4,2.35199996185,2
48037.0,2018,Bowie,New Boston,402.0,100.372319,-283.334093,8,2.54700003815,3
48037.0,2018,Bowie,Texarkana,201.0,33.481796,-94.12889100000001,2,0.0,1
48037.0,2019,Bowie,De Kalb,201.0,33.315475,-94.69139100000001,3,0.0,1
48037.0,2019,Bowie,Hooks,607.0,66.93431799999999,-188.44155899999998,6,10.170000076300001,2
48037.0,2019,Bowie,New Boston,1007.0,200.77031300000002,-566.768472,18,3.05800001431,6
48037.0,2019,Bowie,Simms,248.0,33.36718,-94.631287,4,13.0699996948,1
48037.0,2019,Bowie,Texarkana,1169.0,167.24661600000002,-470.554886,15,0.0,5
48037.0,2020,Bowie,De Kalb,241.0,33.415756,-94.55761,3,0.0,1
48037.0,2020,Bowie,New Boston,201.0,33.474388,-94.409172,3,0.0,1
48037.0,2020,Bowie,Simms,201.0,33.385719,-94.600319,3,0.0,1
48037.0,2020,Bowie,Texarkana,1125.0,167.29336899999998,-470.441346,15,0.0,5
48039.0,2016,Brazoria,Alvin,844.0,235.27042099999994,-762.00398,24,3.163,8
48039.0,2016,Brazoria,Angleton,0.0,612.13622,-2004.6894880000004,77,9.774999999999999,21
48039.0,2016,Brazoria,Brazoria,0.0,29.015363,-95.551073,4,2.455,1
48039.0,2016,Brazoria,Freeport,0.0,28.965235999999997,-95.40668000000001,3,1.2429999999999999,1
48039.0,2016,Brazoria,Lake Jackson,0.0,116.202721,-381.87702099999996,14,1.6949999999999998,4
48039.0,2016,Brazoria,Manvel,5850.0,973.3761329999995,-3148.0176050000005,69,5.826999999999999,33
48039.0,2016,Brazoria,Pearland,5152.0,1182.6385119999998,-3815.409141000001,91,11.783000000000001,40
48039.0,2016,Brazoria,Rosharon,2907.0,764.3167319999999,-2481.123458,67,8.012,26
48039.0,2016,Brazoria,Sweeny,0.0,29.068105,-95.80192199999999,4,1.9080000000000001,1
48039.0,2016,Brazoria,West Columbia,0.0,29.187859000000003,-95.67876,3,0.35200000000000004,1
48039.0,2017,Brazoria,Alvin,804.0,412.26462599999996,-1333.626217,38,4.407,14
48039.0,2017,Brazoria,Angleton,2500.0,1050.068326,-3436.0641109999997,114,35.862000025627,36
48039.0,2017,Brazoria,Brazoria,0.0,116.19384600000001,-382.29911500000003,14,0.337,4
48039.0,2017,Brazoria,Clute,201.0,116.12446800000001,-381.598499,14,2.232,4
48039.0,2017,Brazoria,Danbury,0.0,58.32776,-190.5541,8,0.0,2
48039.0,2017,Brazoria,Freeport,402.0,202.951831,-667.359353,24,5.148,7
48039.0,2017,Brazoria,Lake Jackson,0.0,87.154613,-286.389606,10,0.42400000000000004,3
48039.0,2017,Brazoria,Liverpool,0.0,29.321391,-95.29437800000001,4,0.106,1
48039.0,2017,Brazoria,Manvel,5430.0,1209.360841,-3911.0807499999996,103,22.13100010944648,41
48039.0,2017,Brazoria,Pearland,8825.0,1774.1176480000001,-5722.365396,126,14.55000000052158,60
48039.0,2017,Brazoria,Rosharon,1694.0,588.55363,-1908.8438349999997,54,21.18699988556,20
48039.0,2017,Brazoria,Sweeny,0.0,87.270738,-287.149598,10,4.138,3
